,date_iD,Date,Site_ID,sample code,subset sample code,lot code (#),provisional ID (order),family ID,abundance,notes,Replicate,small,medium,big,notes
,29/05/2018,2018-05-28,AT,AT-BM-28.05.18,AT-BM-28.05.18-S,AT-BM-28.05.18-S-1,Amphipoda,,1,A7,Rep_1,9,3,,"A5,A6"
,29/05/2018,2018-05-28,AT,AT-BM-28.05.18,AT-BM-28.05.18-S,AT-BM-28.05.18-S-2,Megaloptera L,,1,A8,Rep_1,,,,
,29/05/2018,2018-05-28,AT,AT-BM-28.05.18,AT-BM-28.05.18-S,AT-BM-28.05.18-S-3,Hemiptera,Aphidoidea,1,A9,Rep_1,,,,
,29/05/2018,2018-05-28,AT,AT-BM-28.05.18,AT-BM-28.05.18-S,AT-BM-28.05.18-S-4,Diptera,Chironomidae L,3,A10,Rep_1,,,,
,29/05/2018,2018-05-28,AT,AT-BM-28.05.18,AT-BM-28.05.18-S,AT-BM-28.05.18-S-5,Diptera,Adult Chiron,1,B1,Rep_1,,,,
,29/05/2018,2018-05-28,AT,AT-BM-28.05.18,AT-BM-28.05.18-S,AT-BM-28.05.18-S-6,Gastropoda,,7,B2,Rep_1,,,,
,26/6/2018,2018-05-28,AT,AT-BM-28.05.18,AT-BM-28.05.18-S,AT-BM-28.05.18-S-1,Diptera,Chironomidae A,5,A10,Rep_1,,,,
,26/6/2018,2018-05-28,AT,AT-BM-28.05.18,AT-BM-28.05.18-S,AT-BM-28.05.18-S-2,Gastropoda,,9,B1,Rep_1,,,,
,26/6/2018,2018-05-28,AT,AT-BM-28.05.18,AT-BM-28.05.18-S,AT-BM-28.05.18-S-3,annelida,,3,B2,Rep_1,,,,
,26/6/2018,2018-05-28,AT,AT-BM-28.05.18,AT-BM-28.05.18-S,AT-BM-28.05.18-S-4,Bivalva,,1,B3,Rep_1,,,,
,20/6/2018,2018-05-28,EP4,EP4-BM-28.05.18,EP4-BM-28.05.18-S,EP4-BM-28.05.18-S-1,Diptera,Chironomidae L,51,A7,Rep_1,60,,,"E3, E4"
,20/6/2018,2018-05-28,EP4,EP4-BM-28.05.18,EP4-BM-28.05.18-S,EP4-BM-28.05.18-S-2,Diptera,Chironomidae A,6,A8,Rep_1,,,,
,20/6/2018,2018-05-28,EP4,EP4-BM-28.05.18,EP4-BM-28.05.18-S,EP4-BM-28.05.18-S-3,Gastropoda,,3,A9,Rep_1,,,,
,20/6/2018,2018-05-28,HC,HC-BM-28.05.18,HC-BM-28.05.18-S,HC-BM-28.05.18-S-1,Amphipoda,,16,A1,Rep_1,49,1,3,"D10, E1, E2"
,20/6/2018,2018-05-28,HC,HC-BM-28.05.18,HC-BM-28.05.18-S,HC-BM-28.05.18-S-2,Gastropoda,,6,A2,Rep_1,,,,
,20/6/2018,2018-05-28,HC,HC-BM-28.05.18,HC-BM-28.05.18-S,HC-BM-28.05.18-S-3,Bivalva,,18,A3,Rep_1,,,,
,20/6/2018,2018-05-28,HC,HC-BM-28.05.18,HC-BM-28.05.18-S,HC-BM-28.05.18-S-4,Diptera,Chironomidae L,17,A4,Rep_1,,,,
,20/6/2018,2018-05-28,HC,HC-BM-28.05.18,HC-BM-28.05.18-S,HC-BM-28.05.18-S-5,annelida,,10,A5,Rep_1,,,,
,20/6/2018,2018-05-28,HC,HC-BM-28.05.18,HC-BM-28.05.18-S,HC-BM-28.05.18-S-6,Diptera,Mycetophilidae,2,A6,Rep_1,,,,
,2010-07-18,2018-05-31,AT,AT-BM-31.05.18,AT-BM-31.05.18-S,AT-BM-31.05.18-S-1,annelida,,2,C5,Rep_2,3,1,2,Chiron A
,2010-07-18,2018-05-31,AT,AT-BM-31.05.18,AT-BM-31.05.18-S,AT-BM-31.05.18-S-2,Gastropoda,,2,C6,Rep_2,,,,
,2010-07-18,2018-05-31,AT,AT-BM-31.05.18,AT-BM-31.05.18-S,AT-BM-31.05.18-S-3,Diptera,Chironomidae A,3,C7,Rep_2,,,,
,26/6/2018,2018-05-31,EP4,EP4-BM-31.05.18,EP4-BM-31.05.18-S,EP4-BM-31.05.18-S-1,Diptera,Chironomidae L,155,B4,Rep_1,210,5,3,"E6, E7, E8"
,26/6/2018,2018-05-31,EP4,EP4-BM-31.05.18,EP4-BM-31.05.18-S,EP4-BM-31.05.18-S-2,Coleoptera,dytiseridae,6,B5,Rep_1,,,,
,26/6/2018,2018-05-31,EP4,EP4-BM-31.05.18,EP4-BM-31.05.18-S,EP4-BM-31.05.18-S-3,annelida,,19,B6,Rep_1,,,,
,26/6/2018,2018-05-31,EP4,EP4-BM-31.05.18,EP4-BM-31.05.18-S,EP4-BM-31.05.18-S-4,Gastropoda,,2,B7,Rep_1,,,,
,26/6/2018,2018-05-31,EP4,EP4-BM-31.05.18,EP4-BM-31.05.18-S,EP4-BM-31.05.18-S-5,isopoda,,1,B8,Rep_1,,,,
,26/6/2018,2018-05-31,EP4,EP4-BM-31.05.18,EP4-BM-31.05.18-S,EP4-BM-31.05.18-S-6,ephemeroptera,Baefidae,35,B9,Rep_1,,,,
,2010-07-18,2018-05-31,EP4,EP4-BM-31.05.18,EP4-BM-31.05.18-S,EP4-BM-31.05.18-S-1,Coleoptera,Dystiscidae,3,C8,Rep_2,229,8,1,"Chirn, halp"
,2010-07-18,2018-05-31,EP4,EP4-BM-31.05.18,EP4-BM-31.05.18-S,EP4-BM-31.05.18-S-2,Diptera,Chironomidae L,173,C9,Rep_2,,,,
,2010-07-18,2018-05-31,EP4,EP4-BM-31.05.18,EP4-BM-31.05.18-S,EP4-BM-31.05.18-S-3,Coleoptera,Elmidae,2,C10,Rep_2,,,,
,2010-07-18,2018-05-31,EP4,EP4-BM-31.05.18,EP4-BM-31.05.18-S,EP4-BM-31.05.18-S-4,Ephemeroptera,Baefidae,49,D1,Rep_2,,,,
,2010-07-18,2018-05-31,EP4,EP4-BM-31.05.18,EP4-BM-31.05.18-S,EP4-BM-31.05.18-S-5,Amphipoda,,1,D1,Rep_2,,,,
